productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
E2O Women Navy Blue Solid Zip Around Wallet,E2O,852,6,"\"Navy Blue solid zip around wallet","has a zip1 main compartment8 card holders2 slip pockets1 zip pocketWarranty: 6 monthsWarranty provided by brand/manufacturer\"",1,1,6,8
GERUA Women Blue & White Printed A-Line Kurta,GERUA,699,5,"\"Blue and white printed A-line kurta",has a mandarin collar,1,1,6,8
WROGN Men Black Slim Fit Printed Casual Shirt,WROGN,1999,6,"\"Black printed casual shirt",has a spread collar,0,1,4,8
Lavie Brown Solid Shoulder Bag,Lavie,5375,6,"\"Brown solid shoulder bag",has a zip closure2 main compartments,1,1,4,5
Lavie Women Copper-Toned Textured Zip Around Wallet,Lavie,2036,6,"\"Copper-Toned textured zip around wallet",has a zip1 main compartment,1,1,5,7
AURELIA Women Black Yoke Design A-Line Winter Kurta,AURELIA,1999,5,"\"Black yoke design A-line winter kurta",has a mandarin collar,1,1,6,8
WROGN Men Navy Blue & Red Slim Fit Checked Casual Shirt,WROGN,1999,5,"\"Navy Blue and Red checked casual shirt",has a spread collar,0,1,7,11
Parx Men Blue Slim Fit Printed Casual Shirt,Parx,759,5,"\"Blue printed casual shirt",has a spread collar,0,1,4,8
Oxolloxo Women Blue Sheath Dress,Oxolloxo,459,5,"\"Blue solid woven sheath %S",has a round neck,1,1,5,5
W Women Maroon Embroidered Sequinned Tiered A-Line Kurta,W,4999,6,"\"Maroon embroidered sequinned tiered A-line kurta",has a round neck,1,1,6,8
Cortina Blue & Off-White Set of 2 Window Curtains,Cortina,450,4,Set content: 2 Window curtainsColour: Blue and Off-WhitePattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No,Blue,2,1,14,9
Cortina Set of 2 Window Curtains,Cortina,545,4,Set content: 2 Window curtainsColour: PinkPattern: Floral WindowLight blocking: RegularFitting: Eyelet,"",2,1,11,6
Cortina Set of 2 Maroon & Off-White Printed Long Door Curtains,Cortina,730,4,Set content: 2 Long Door curtainsColour: Maroon and Off-WhitePattern: Floral Long DoorLight blocking: RegularFitting: Eyelet,White,2,1,15,11
U.S. Polo Assn. Kids Boys Navy Blue  Red Colourblocked Polo Collar T-shirt,U.S. Polo Assn. Kids,899,3,"\"Navy Blue",red and reen colourblocked T-shirt,0,0,2,13
GNIST Women Black Solid Open Toe Flats,GNIST,699,5,"\"A pair of black open-toed flats",has regular styling,1,1,6,7
Peora Silver-Plated Green Dome Shaped Jhumkas,Peora,823,4,"\"Green Silver-Plated Dome Shaped Earrings","and has artificial stonesSecured with a post and back\"",1,1,5,6
GNIST Women Black & White Printed Wedges,GNIST,849,5,"\"A pair of black & white open toe sandals",has regular styling,1,1,9,7
Cortina Set of 2 Orange Printed Window Curtains,Cortina,629,4,Set content: 2 Window curtainsColour: OrangePattern: Floral WindowLight blocking: RegularFitting: Eyelet,Orange,2,1,11,8
U.S. Polo Assn. Kids Girls Yellow & White Striped A-Line Dress,U.S. Polo Assn. Kids,649,4,"\"Yellow and white striped knitted A-line dress",has a round neck,1,0,7,11
GNIST Women Pink Solid Heels,GNIST,949,6,"\"A pair of pink open toe heels",has mid-top styling,1,1,7,5
Basics Men Orange & Blue Slim Fit Checked Casual Shirt,Basics,1749,5,"\"Orange",off white and blue checked casual shirt,0,1,1,10
Park Avenue Men Navy Blue NEO Fit Solid Regular Trousers,Park Avenue,874,5,"\"Navy Blue solid mid-rise trousers",has a button closure,0,1,5,10
Raymond Men Pink Slim Fit Solid Formal Shirt,Raymond,879,6,"\"Pink solid formal shirt",has a spread collar,0,1,4,8
Pepe Jeans Boys White Striped Round Neck T-shirt,Pepe Jeans,399,4,"\"White striped T-shirt",has a round neck,0,0,3,8
Puma Men Black Carson Pro Idp SoftFoam + Running Shoes,Puma,2599,7,"\"Special Technology:SoftFoam + insole provides superior cushioning and comfort ideal for every stage of your dayDesign Details:A pair of black running sports shoes",has regular styling,0,1,23,10
Calvin Klein Jeans Men Blue Regular Fit Solid Casual Shirt,Calvin Klein Jeans,3359,5,"\"Blue solid casual shirt",has a spread collar,0,1,4,10
Puma Men Grey Solid Thong Flip-Flops,Puma,1624,5,A pair of grey solid flip flopsSynthetic upper materialCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Grey,0,1,17,6
Sonari Pack of 2 Bras catwalk,Sonari,780,2,"\"Pack of two full-coverage bras in blackEach bra?has non-padded and non-wired cups",a bow detail on the centre front,1,1,12,6
Parx Men Grey Striped Sweater,Parx,559,5,"\"Grey striped sweater",has a V-neck,0,1,3,5
Campus Sutra Men Green Dyed Henley Neck T-shirt,Campus Sutra,699,5,"\"Green dyed T-shirt",has a Henley neck,0,1,3,8
SASSAFRAS Women Black Regular Fit Semi-Sheer Solid Jodhpuris,SASSAFRAS,699,5,Black solid high-rise semi-sheer trousers and slip-on closure,Black,1,1,8,8
Hoopers Men Black Textured Mid-Top Sneakers,Hoopers,1679,7,"\"A pair of round-toe black sneakers",has mid-top styling,0,1,6,6
Story@home Pink Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,1399,5,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: PinkPattern: Floral,Pink,2,1,14,13
JEWEL JUNCTION Black Geometric Cufflinks,JEWEL JUNCTION,539,5,A pair of black and peach-coloured geometric embellished cufflinksComes in a signature JEWEL JUNCTION case,Black,0,1,15,5
Next Look Men Off-White & Blue Regular Fit Printed Casual Shirt,Next Look,599,5,"\"Off-white and blue printed casual shirt",has a spread collar,0,1,6,11
Sonata Essentials Men Off White Analogue watch 77082YL03,Sonata,1175,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time",Date ApertureStrap style: Brown regular,0,1,12,8
Kryptic Men White Striped Polo Collar T-shirt,Kryptic,699,5,"\"White and Navy Blue striped T-shirt",has a polo collar,0,1,6,7
ColorPlus Men Yellow & Blue Tailored Fit Checked Casual Shirt,ColorPlus,1214,5,"\"Yellow and Blue checked casual shirt",has a spread collar,0,1,6,10
Fastrack Men Grey Analogue Watch 38050NL01,Fastrack,2577,6,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time",Calendar,0,1,13,6
Crocs Unisex Grey Solid LiteRide Clogs,Crocs,4495,5,"\"A pair of grey solid flip flopsSoft",flexible Matlite uppers feel broken-in from day one Croslite foam outsoles provide durable,2,1,7,6
Newport Men Green Printed Round Neck T-shirt,Newport,479,5,"\"Green printed T-shirt",has a round neck,0,1,3,7
Blue Giraffe Boys White & Black Regular Fit Printed Casual Shirt,Blue Giraffe,949,5,"\"White and Black printed casual shirt",has a spread collar,0,0,6,11
Femmora Women Pink & Green Night suit 125601,Femmora,999,5,"\"Pink and green night suit consists of t-shirt and pyjamasPink solid t-shirt",has a round neck,1,1,12,8
KLEIO Green Solid Sling Bag,KLEIO,615,5,"\"Green solid sling bag",has a zip closure1 main compartment,1,1,4,5
Louis Philippe Men Blue Slim Fit Striped Formal Shirt,Louis Philippe,2209,5,"\"Blue striped formal shirt",has a spread collar,0,1,4,9
Latin Quarters Women White Self Design Fit and Flare Dress,Latin Quarters,804,5,"\"White self-design woven fit and flare dress",has a V-neck,1,1,7,10
Archies White & Red Printed Coffee Mug,Archies,699,3,Pattern: PrintedFinish: MatteMaterial: Ceramic,Red,2,1,4,7
Indian Terrain Men Green & Yellow Slim Fit Checked Casual Shirt,Indian Terrain,944,6,"\"Green",yellow and white checked casual shirt,0,1,1,11
KLEIO Green Solid Sling Bag,KLEIO,671,5,"\"Green  solid sling bag with buckle detail detail",has a button closure1 main compartment,1,1,9,5
Indian Terrain Men Green Printed Polo Collar T-shirt,Indian Terrain,719,5,"\"Green printed T-shirt",has a polo collar,0,1,3,8
Indian Terrain Men Blue Slim Fit Solid Casual Shirt,Indian Terrain,899,5,"\"Blue solid casual shirt",has a button-down collar,0,1,4,9
Chkokko Women Green Solid Hooded Sweatshirt,Chkokko,547,5,"\"Green solid pullover hooded sweatshirt",has two sleeves,1,1,5,6
Indian Terrain Men Navy Blue & Black Printed Polo Collar T-shirt,Indian Terrain,719,5,"\"Navy Blue and Black printed T-shirt",has a polo collar,0,1,6,11
Indian Terrain Men Grey Brooklyn Slim Fit Checked Chinos,Indian Terrain,1749,5,"\"Grey solid knitted mid-rise chino trousers",button closure,0,1,6,9
Indian Terrain Men Navy Blue Slim Fit Solid Smart Casual Shirt,Indian Terrain,854,5,"\"Navy Blue solid casual shirt",has a spread collar,0,1,5,11
Just Wow Women Black & Beige Embroidered Maxi Dress,Just Wow,2499,5,"\"Black and Beige solid woven maxi dress",has a round neck,1,1,7,9
Indian Terrain Men Teal Blue & Black Regular Fit Checked Casual Shirt,Indian Terrain,899,5,"\"Teal blue & black checked casual shirt",has a spread collar,0,1,7,12
Arrow Men Black Leather Sandals,Arrow,1499,5,A pair of black comfort sandalsLeather upper with velcro closureCushioned footbedPatterned tpr outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Black,0,1,18,5
Indian Terrain Men Navy Blue & Beige Slim Fit Checked Casual Shirt,Indian Terrain,809,5,"\"Navy blue",beige and red checked casual shirt,0,1,2,12
Style Quotient Women Off-White & Grey Colourblocked Layered Bardot Top,Style Quotient,597,5,"\"Off-White and grey colourblocked woven layered bardot top with taselled detail",has an off-shoulder neck,1,1,11,10
VASTRAMAY Men Yellow Solid Straight Kurta,VASTRAMAY,1299,5,"\"Yellow solid straight kurta",has a mandarin collar,0,1,4,6
W Women Black Embroidered Straight Kurta,W,679,5,"\"Black embroidered straight kurta with gathered detail",has a mandarin collar,1,1,7,6
MISH Women Off-White Solid Satin Finish Top,MISH,1019,5,"\"Off-White solid woven satin finish regular top",has a square neck,1,1,7,7
W Women Charcoal Grey & Black Solid Layered Straight Sustainable Kurta,W,1399,8,"\"Black self-checked straight kurta",has a round neck,1,1,4,11
Van Heusen Woman Women Peach-Coloured Solid Pumps,Van Heusen Woman,2299,7,"\"A pair of peach-coloured pointed toe pumps",has regular styling,1,1,7,7
SEIKO Kinetic Men Navy Blue Analogue watch SRN061P1,SEIKO,25500,6,"\"Display: AnalogueMovement: KineticPower source: MotionDial style: Textured round stainless steel dialFeatures: Reset Time",CalendarStrap style: Blue textured,0,1,13,8
U.S. Polo Assn. Kids Boys Navy Blue Striped Polo Collar T-shirt,U.S. Polo Assn. Kids,959,3,"\"Navy Blue striped T-shirt",has a polo collar,0,0,4,11
Flying Machine Boys Lime Green & Blue Printed Round Neck T-shirt,Flying Machine,299,3,"\"Lime green and blue printed T-shirt",has a round neck,0,0,6,11
amraoo Women Black & Maroon Printed Dupatta,amraoo,799,4,Black and Maroon printed Dupatta and has a woven design border,Black,1,1,11,7
Lacoste Women L.12.12 Pour Elle Natural Eau De Toilette 90 ml,Lacoste,4250,4,"\"What is it:Uplifting",authentic,1,1,3,11
Basics Men Brown & Navy Blue Slim Fit Checked Casual Shirt,Basics,1469,5,"\"Brown and Navy Blue checked casual shirt",has a spread collar,0,1,7,11
HUNTER 1114 Men Black Diamond 2-in-1 Shampoo and Body Wash 250 ml,HUNTER 1114,1020,4,What it is:Black Diamond 2 in 1 Shampoo and Body Wash is perfect for the man on the go.Benefits: Black Diamonds uses the power of charcoal and diamonds to cleanse and revitalize hair and scalp.Gently removes products build up and adds shine to hair.Hydrates and softens the skin.??,Black,0,1,48,12
Ecko Unltd Men Black Solid Hooded Puffer Jacket,Ecko Unltd,1007,5,"\"Black solid puffer jacket",has a stand collar,0,1,4,8
AURELIA Women Navy Blue & White Self Design A-Line Dress,AURELIA,759,5,"\"Navy and white self-design woven A-line dress with tie-up detail",has a round neck,1,1,10,10
Pepe Jeans Boys Black Solid Bomber Jacket,Pepe Jeans,1649,5,"\"Black solid bomber jacket with side stripe detail",has a stand collar,0,0,8,7
Puma Men Black & Orange ONE 5.4 FG/AG Football Shoes,Puma,3499,7,"\"About the shoeSlip these on for fast and agile performance. The synthetic upper provides a superior touch and ball control",and the classic tongue and lacing ensure a superbly snug fit.Design Details:A pair of black & orange football sports shoes,0,1,20,10
Eske Women Gold-Toned Solid Leather Handheld Bag,Eske,4749,5,"\"Gold-Toned solid handheld bag",has a zip closure1 main compartment,1,1,4,7
Puma Unisex Grey Cappela IDP Slip-On Sneakers,Puma,1979,7,"\"A pair of round-toe grey slip-on sneakers",has regular styling,2,1,7,7
Flying Machine Women Charcoal Grey Skinny Fit High-Rise Stretchable Cropped Jeans,Flying Machine,1299,7,"\"Charcoal grey dark wash 5-pocket high-rise cropped stretchable jeans",low distress,1,1,9,11
Calvin Klein Jeans Men Grey Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Calvin Klein Jeans,7199,7,"\"Grey with a tinge of navy blue medium wash 5-pocket mid-rise jeans",clean look,0,1,12,12
EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,EthnoVogue,5810,7,"\"Beige & Grey made to measure kurta with churidar and?dupattaBeige made to measure calf?length kurta",has a V-neck,1,1,15,14
SPYKAR Women Blue Alicia Super Skinny Fit Low-Rise Mildly Distressed Ankle-length Jeans,SPYKAR,1079,7,"\"Blue light wash 5-pocket low-riseankle-length jeans",mildly distressed,1,1,6,12
Parx Men Red & Navy Blue Slim Fit Checked Casual Shirt,Parx,779,5,"\"Red and navy blue checked casual shirt",has a spread collar,0,1,7,11
Raymond Men Blue Checked Polo Collar T-shirt,Raymond,2549,5,"\"Blue checked T-shirt",has polo collar,0,1,3,7
Gini and Jony Girls Navy Blue Striped Denim Pinafore Dress,Gini and Jony,1399,4,"\"Navy blue and grey striped woven denim pinafore dress",has adjustable shoulder straps,1,0,9,10
DressBerry Women Blue & Off-White Colourblocked Hooded Front-Open Sweatshirt,DressBerry,539,5,"\"Blue",off-white and black colourblocked front-open sweatshirt,1,1,1,9
Puma Men Black Sneakers,Puma,1899,5,"\"A pair of round-toe black & grey sneakers",has regular styling,0,1,8,4
Park Avenue Men White & Red Slim Fit Striped Formal Shirt,Park Avenue,1899,5,"\"White and red striped formal shirt",has a spread collar,0,1,6,11
Park Avenue Men Yellow & White Slim Fit Checked Casual Shirt,Park Avenue,1349,5,"\"Yellow and White checked casual shirt",has a spread collar,0,1,6,11
SHISEIDO 208 Streaming Mauve VisionAiry Gel Lipstick 1.6gms,SHISEIDO,2125,3,"\"SHISEIDO 208 Streaming Mauve VisionAiry Gel LipstickShade No: 208Shade Name: Streaming MauveWhat It Is:Using revolutionary Triple Gel Technology",this breakthrough formula allows high levels of pigment to converge with water for cushiony,1,1,18,8
Raymond Men Blue Solid Regular-Fit Single-Breasted Formal Suit,Raymond,4274,5,"\"Blue solid formal suitBlue solid regular-fit blazer",has a peaked lapel,0,1,7,8
Red Tape Men Black Leather Formal Loafers,Red Tape,1448,5,"\"A pair of black round-toed formal loafersLeather upperCushioned footbedTextured PVC outsole","has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer\"",0,1,11,7
Levis Men White 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,Levis,1799,7,"\"White light wash 5-pocket mid-rise jeans",clean look,0,1,6,11
IVOC Men White Regular Fit Printed Formal Shirt,IVOC,461,5,"\"White printed formal shirt",has a spread collar,0,1,4,8
CODE by Lifestyle Men Navy Blue & White Slim Fit Checked Casual Shirt,CODE by Lifestyle,949,6,"\"Navy Blue and White checked casual shirt",has a spread collar,0,1,7,13
Dennmarks Off White Serving Breakfast Tray,Dennmarks,1676,5,Set content: One serving tray Colour:Off White Shape: Rectangular Pattern: Printed Material: Wood,White,2,1,13,6
Bodycare Pack of 2 Assorted Lightly Padded T-shirt Bras E6552COS,Bodycare,820,4,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,"",1,1,36,10
Tokyo Talkies Women Mustard Regular Fit Checked Casual Shirt,Tokyo Talkies,599,5,"\"Mustard checked casual shirt",has a spread collar,1,1,4,9
Divine Casa Navy Blue & Grey Geometric Reversible AC Room 110 GSM Single Bed Dohar,Divine Casa,767,4,"\"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Navy Blue","grey and whitePattern: Geometric Dohar\"",2,1,11,15
Mochi Maroon Embroidered Clutch,Mochi,990,5,Maroon embroidered clutch1 main compartment with button closure,Red,1,1,8,4
Bodycare Pack of 2 Assorted Lightly Padded T-shirt Bras E6552DPUWI,Bodycare,820,4,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,"",1,1,36,10
Campus Women Navy Blue Mesh Running Shoes,Campus,539,5,"\"A pair of navy blue running sports shoes",has regular styling,1,1,8,7
Flying Machine Men Rust Orange & Brown Striped Round Neck T-shirt,Flying Machine,549,5,"\"Rust orange and brown striped T-shirt",has a round neck,0,1,6,11
Flying Machine Men Blue Michael Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Flying Machine,1149,7,"\"Blue dark wash 5-pocket mid-rise jeans",clean look,0,1,6,13
Bonjour Women Pack of 4 Multicoloured Cotton Ankle Length Socks,Bonjour,449,3,"\"Pack of four multicoloured colourblocked ankle length socks","each has a ribbed mouth and a flat-toe seam.\"",1,1,8,10
